day:6, area_number:1, roomID:42, stock:0, suf_rate:0.0
day:6, area_number:1, roomID:44, stock:1, suf_rate:0.1
day:6, area_number:1, roomID:45, stock:0, suf_rate:0.0
day:6, area_number:1, roomID:47, stock:0, suf_rate:0.0
day:6, area_number:1, roomID:49, stock:0, suf_rate:0.0
day:6, area_number:1, roomID:55, stock:1, suf_rate:0.1
day:7, area_number:2, roomID:40, stock:0, suf_rate:0.0
day:7, area_number:2, roomID:41, stock:0, suf_rate:0.0
day:7, area_number:2, roomID:42, stock:0, suf_rate:0.0
day:7, area_number:2, roomID:43, stock:1, suf_rate:0.1
day:7, area_number:2, roomID:44, stock:0, suf_rate:0.0
day:7, area_number:2, roomID:45, stock:0, suf_rate:0.0
day:7, area_number:2, roomID:46, stock:5, suf_rate:0.5
day:7, area_number:2, roomID:47, stock:0, suf_rate:0.0
day:7, area_number:2, roomID:48, stock:5, suf_rate:0.5
day:7, area_number:2, roomID:49, stock:3, suf_rate:0.3
day:7, area_number:2, roomID:50, stock:0, suf_rate:0.0
day:7, area_number:2, roomID:51, stock:3, suf_rate:0.3
day:7, area_number:2, roomID:52, stock:0, suf_rate:0.0
day:7, area_number:2, roomID:53, stock:0, suf_rate:0.0
day:7, area_number:2, roomID:54, stock:0, suf_rate:0.0
day:7, area_number:2, roomID:55, stock:0, suf_rate:0.0
day:7, area_number:2, roomID:56, stock:2, suf_rate:0.2
day:7, area_number:2, roomID:57, stock:2, suf_rate:0.2
day:7, area_number:2, roomID:58, stock:4, suf_rate:0.4
day:7, area_number:2, roomID:59, stock:0, suf_rate:0.0
day:7, area_number:2, roomID:8, stock:1, suf_rate:0.1
day:7, area_number:2, roomID:28, stock:0, suf_rate:0.0
day:7, area_number:2, roomID:29, stock:0, suf_rate:0.0
day:7, area_number:2, roomID:33, stock:1, suf_rate:0.1
day:7, area_number:2, roomID:36, stock:0, suf_rate:0.0
day:7, area_number:2, roomID:37, stock:0, suf_rate:0.0
day:7, area_number:2, roomID:38, stock:0, suf_rate:0.0
day:7, area_number:2, roomID:46, stock:0, suf_rate:0.0
day:7, area_number:2, roomID:48, stock:0, suf_rate:0.0
day:7, area_number:2, roomID:51, stock:0, suf_rate:0.0
day:7, area_number:2, roomID:52, stock:0, suf_rate:0.0
day:7, area_number:2, roomID:56, stock:1, suf_rate:0.1
day:7, area_number:2, roomID:57, stock:0, suf_rate:0.0
day:7, area_number:2, roomID:59, stock:0, suf_rate:0.0
day:7, area_number:2, roomID:63, stock:0, suf_rate:0.0
day:7, area_number:2, roomID:67, stock:0, suf_rate:0.0
day:7, area_number:2, roomID:72, stock:1, suf_rate:0.1
day:7, area_number:2, roomID:74, stock:0, suf_rate:0.0
day:7, area_number:2, roomID:77, stock:0, suf_rate:0.0
day:7, area_number:2, roomID:79, stock:0, suf_rate:0.0
day:8, area_number:3, roomID:60, stock:0, suf_rate:0.0
day:8, area_number:3, roomID:61, stock:4, suf_rate:0.4
day:8, area_number:3, roomID:62, stock:0, suf_rate:0.0
day:8, area_number:3, roomID:63, stock:1, suf_rate:0.1
day:8, area_number:3, roomID:64, stock:0, suf_rate:0.0
day:8, area_number:3, roomID:65, stock:1, suf_rate:0.1
day:8, area_number:3, roomID:66, stock:2, suf_rate:0.2
day:8, area_number:3, roomID:67, stock:2, suf_rate:0.2
day:8, area_number:3, roomID:68, stock:2, suf_rate:0.2
day:8, area_number:3, roomID:69, stock:1, suf_rate:0.1
day:8, area_number:3, roomID:70, stock:2, suf_rate:0.2
day:8, area_number:3, roomID:71, stock:0, suf_rate:0.0
day:8, area_number:3, roomID:72, stock:3, suf_rate:0.3
day:8, area_number:3, roomID:73, stock:0, suf_rate:0.0
day:8, area_number:3, roomID:74, stock:1, suf_rate:0.1
day:8, area_number:3, roomID:75, stock:0, suf_rate:0.0
day:8, area_number:3, roomID:76, stock:2, suf_rate:0.2
day:8, area_number:3, roomID:77, stock:0, suf_rate:0.0
day:8, area_number:3, roomID:78, stock:2, suf_rate:0.2
day:8, area_number:3, roomID:79, stock:0, suf_rate:0.0
day:8, area_number:3, roomID:31, stock:0, suf_rate:0.0
day:8, area_number:3, roomID:40, stock:0, suf_rate:0.0
day:8, area_number:3, roomID:50, stock:0, suf_rate:0.0
day:8, area_number:3, roomID:54, stock:0, suf_rate:0.0
day:8, area_number:3, roomID:61, stock:0, suf_rate:0.0
day:8, area_number:3, roomID:65, stock:0, suf_rate:0.0
day:8, area_number:3, roomID:68, stock:0, suf_rate:0.0
day:8, area_number:3, roomID:69, stock:3, suf_rate:0.3
