roomID:5, day:40, sales:6, shortage2, consume:8
roomID:5, day:41, sales:0, shortage0, consume:0
roomID:5, day:42, sales:0, shortage0, consume:0
roomID:5, day:43, sales:0, shortage0, consume:0
roomID:5, day:44, sales:0, shortage0, consume:0
roomID:5, day:45, sales:0, shortage0, consume:0
roomID:5, day:46, sales:0, shortage0, consume:0
roomID:5, day:47, sales:0, shortage0, consume:0
roomID:5, day:48, sales:10, shortage2, consume:12
roomID:5, day:49, sales:0, shortage0, consume:0
roomID:5, day:50, sales:0, shortage0, consume:0
roomID:5, day:51, sales:0, shortage0, consume:0
roomID:5, day:52, sales:4, shortage0, consume:4
roomID:5, day:53, sales:0, shortage0, consume:0
roomID:5, day:54, sales:4, shortage0, consume:4
roomID:5, day:55, sales:0, shortage0, consume:0
roomID:5, day:56, sales:0, shortage0, consume:0
roomID:5, day:57, sales:4, shortage0, consume:4
roomID:5, day:58, sales:0, shortage0, consume:0
